trade.tradeHeader.partyTradeInformation.reportingRegime.partyEntityClassification.entityClassification.entityClassificationScheme,6
trade.commoditySwap.floatingLeg.commodity.unit,3
trade.tradeHeader.partyTradeIdentifier.linkId.linkIdScheme,4
trade.tradeHeader.uniqueSwapIdentifier.tradeId.tradeIdScheme,3
trade.tradeHeader.originatingPackage.sequenceNumber,1
trade.commodityOption.exercise.relativePaymentDates.payRelativeTo,2
party.classification.industryClassificationScheme,102
trade.commoditySwap.fixedLeg.notionalQuantity.quantityUnit,1
party.classification,108
trade.equitySwapTransactionSupplement.buyerPartyReference.href,2
trade.tradeHeader.partyTradeInformation.confirmationMethod.confirmationMethodScheme,1
trade.equitySwapTransactionSupplement.optionalEarlyTermination,2
trade.commoditySwap.fixedLeg.calculationPeriodsReference.href,1
trade.swap.earlyTerminationProvision.mandatoryEarlyTermination.mandatoryEarlyTerminationDate.id,1
trade.tradeHeader.partyTradeInformation.executionDateTime,4
trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.capRateSchedule.step.stepValue,3
trade.fxSwap.nearLeg.exchangedCurrency2.payerPartyReference.href,1
trade.fxSwap.farLeg.exchangedCurrency2.payerPartyReference.href,1
trade.tradeHeader.partyTradeInformation.reportingRegime.entityClassification.entityClassificationScheme,146
trade.tradeHeader.partyTradeInformation.intentToClear,3
trade.tradeHeader.originatingPackage.packageType,1
trade.fxSwap.farLeg.exchangedCurrency2.receiverPartyReference.href,1
header.sentBy.messageAddressScheme,12
trade.tradeHeader.partyTradeInformation.reportingRegime.partyEntityClassification.entityClassification,7
trade.equitySwapTransactionSupplement.returnLeg.amount.referenceAmount,2
trade.tradeHeader.partyTradeInformation.reportingRegime.actionType.actionTypeScheme,7
asOfDate,9
trade.varianceSwap.varianceLeg.amount.variance.vegaNotionalAmount,1
party.partyId.partyIdScheme,112
trade.tradeHeader.partyTradeInformation.reportingRegime.supervisorRegistration.supervisoryBody,265
trade.tradeHeader.originatingPackage.size,1
trade.tradeHeader.partyTradeInformation.reportingRole,3
trade.tradeHeader.partyTradeInformation.executionType,17
trade.tradeHeader.partyTradeInformation.reportingRegime.mandatorilyClearable.reportingBooleanScheme,3
header.implementationSpecification.version.implementationSpecificationVersionScheme,7
trade.fxSingleLeg.exchangedCurrency2.payerPartyReference.href,2
trade.tradeHeader.partyTradeInformation.collateralizationType,26
trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floorRateSchedule.step.stepValue,3
trade.tradeHeader.partyTradeInformation.reportingRegime.actionType,15
trade.tradeHeader.partyTradeInformation.collateralizationType.collateralTypeScheme,5
trade.equitySwapTransactionSupplement.sellerPartyReference.href,2
trade.tradeHeader.tradeSummary.reportingLevel,3
trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.capRateSchedule.initialValue,1
party.region,25
trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floorRateSchedule.step.stepDate,3
trade.tradeHeader.partyTradeInformation.executionVenueType.executionVenueTypeScheme,1
trade.volatilitySwapTransactionSupplement.volatilityLeg.valuation.id,1
trade.tradeHeader.partyTradeInformation.reportingRegime.reportingRole,263
trade.volatilitySwapTransactionSupplement.volatilityLeg.amount.volatility.vegaNotionalAmount,1
trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity.entityId,1
trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity.entityId.entityIdScheme,1
trade.commodityOption.calculationPeriods.unadjustedDate,2
trade.equitySwapTransactionSupplement.optionalEarlyTerminationElectingPartyReference.href,2
trade.commoditySwap.floatingLeg.commodity.unit.quantityUnitScheme,2
trade.regulatoryProductInfo.priceTerms.strikePriceSchedule.step.stepValue,12
trade.tradeHeader.partyTradeInformation.largeSizeTrade,13
originatingEvent.originatingEventScheme,1
trade.commodityOption.exercise.europeanExercise.exerciseFrequency.periodMultiplier,2
trade.equitySwapTransactionSupplement.interestLeg.id,2
trade.tradeHeader.productSummary.indexFactor,1
trade.tradeHeader.partyTradeInformation.confirmationMethod,4
